fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,test_roc_auc_mean,test_roc_auc_std,test_average_precision_mean,test_average_precision_std,encoder,data_id,data_name,cv,is_classification,n_samples,n_features,categorical features,openml_url
0.5457070112228394,0.07212196793972458,0.028790545463562012,0.0017201970770078301,0.9013545323104937,0.0187320616681572,0.7677527917821998,0.056475830952980394,0.9673607778017035,0.008560009720605586,drop,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
0.9855309963226319,0.1044225198099325,0.08630056381225586,0.010806166551904436,0.9072769331848958,0.016786621172213176,0.8521600687879081,0.046451214288300416,0.9793854179331893,0.007964605228588315,SKOrdinalEncoder,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
1.0655277490615844,0.07107043162616365,0.05506267547607422,0.007311825350020879,0.915269144274309,0.013097439947789126,0.8466494944464683,0.051118100826906154,0.9714503809151671,0.011855518241332063,SKTargetEncoder,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
4.201217579841614,0.11014350829401905,0.0613152027130127,0.0036837293536652388,0.9149504397358138,0.016122131948573613,0.9090450133519692,0.029702381285168222,0.9884215601692452,0.004312862778109898,SKTargetEncoderCV,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
1.0314841508865356,0.043603360327942146,0.053612256050109865,0.007183872932837214,0.9171793031145503,0.015568727642135707,0.9103757778942387,0.021174221926816717,0.9886894055851355,0.0025465849345868404,SKTargetEncoderBS,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
4.106331491470337,0.06585711113666874,0.0664376974105835,0.007446232679445333,0.9143136897048894,0.015024702737928953,0.9156163491022495,0.021107828945227294,0.9898368216195725,0.0024152020102079954,TargetRegressorEncoderCVBS,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
7.583935570716858,0.09071119893582946,0.34711081981658937,0.03133791375206184,0.9152690428826066,0.014077073851528664,0.8820120992741511,0.03407117215786972,0.9815035306302968,0.0071444702714598685,SKTargetRegressionBaggingEncoder,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
7.384869194030761,0.06975658082659973,0.3596723318099976,0.048334885644388155,0.9162243757819836,0.013460735428661127,0.9084149619967432,0.02248323378455611,0.988608544607527,0.0029466603439118164,SKTargetRegressionBaggingEncoderBS,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
0.5187027454376221,0.03363946153551573,0.062072372436523436,0.00404312961285458,0.9133585900064283,0.014239380025416888,0.8478948226535508,0.05495407081581664,0.9714389013905971,0.012699525908925768,JamesSteinEncoder,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
1.547688364982605,0.08598652262378167,0.07293930053710937,0.005377587636718843,0.9146959567016874,0.013282662326827697,0.909091625733154,0.028232065398710496,0.9883098025122615,0.004262711018229535,JamesSteinEncoderCV,41160,rl,10,True,31406,22,14,https://www.openml.org/d/41160
